date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2015/11/01,8,2,公証揚聖(P001),柏寶,呂健威,120,1110,4,頸位,7 7 8 2,1.41.27,2.8
2015/11/01,11,3,得意財星(P227),蘇狄雄,何良,114,1106,1,頸位,3 3 3 3,1.41.28,47
2015/11/14,12,12,精益旅程(S389),韋達,葉楚航,119,1114,7,8-1/2,6 6 5 12,1.24.84,6.8
2015/11/14,14,13,財寶密碼(S229),田泰安,沈集成,116,1238,9,8-3/4,3 1 1 13,1.24.88,15
2015/10/10,2,1,幸運如意(T211),柏寶,呂健威,131,1087,5,-,2 2 1,1.09.20,2.6
2015/10/04,14,1,快寶駒(S240),田泰安,苗禮德,116,1172,13,-,1 1 1,0.57.43,2.6
2015/11/14,6,12,靚先生(T335),郭能,告東尼,127,1058,5,8-1/2,4 4 5 12,1.24.14,15
2015/11/14,10,13,彪形勁漢(S116),湛明諾,沈集成,120,1094,10,9-1/4,10 12 12 13,1.24.26,99
2015/10/10,13,12,聖海(T257),鄭雨滇,徐雨石,119,1055,6,6-1/4,13 14 14 12,1.23.39,99
2015/10/10,9,13,駿馬威龍(T310),湯智傑,蘇偉賢,121,1116,11,7,1 3 4 13,1.23.52,99
2015/11/01,10,4,上浦勇將(P285),田泰安,徐雨石,116,1232,3,3/4,5 5 5 4,1.41.37,14
2015/11/01,1,5,跑贏大市(N254),郭能,姚本輝,133,1171,7,1-1/2,6 6 6 5,1.41.45,10
2015/11/14,13,14,連冠勇將(P434),湯智傑,呂健威,114,1166,8,11-1/2,9 10 9 14,1.25.30,99
2015/10/10,3,2,永旺年年(T245),潘頓,沈集成,127,1120,1,2-1/4,1 1 2,1.09.56,3
2015/10/10,6,3,幸運日(S014),郭能,告東尼,125,1097,3,2-3/4,4 3 3,1.09.65,6.6
2015/10/04,12,2,保羅威威(T027),韋達,葉楚航,123,1062,9,2,8 6 2,0.57.74,5
2015/10/04,3,3,新添(P257),巫斯義,文家良,130,995,5,4,9 10 3,0.58.06,18
2015/11/14,11,14,奧蘇(T137),鄭雨滇,鄭俊偉,119,1141,9,13,13 10 11 14,1.24.86,99
2015/11/14,(T077),WV,廣友威龍117,田泰安,胡森,1107,---,---,-,,---,---
2015/10/10,6,14,君子協定(S011),黃皓楠,葉楚航,114,1092,10,11-3/4,5 1 2 14,1.24.25,99
2015/11/01,11,1,駕善(S245),楊明綸,李易達,117,1133,1,-,3 3 2 1,1.42.16,3.4
2015/11/01,3,6,多多勁驥(S385),梁家俊,苗禮德,129,1142,2,3-1/2,1 1 1 6,1.41.80,29
2015/11/01,9,7,八喜(N158),韋達,李易達,119,1125,12,3-3/4,4 4 4 7,1.41.83,25
2015/10/10,5,4,快無極(T116),何澤堯,徐雨石,123,1100,10,3-3/4,6 6 4,1.09.79,29
2015/10/10,10,5,大勝利(S360),田泰安,方嘉柏,122,1273,9,4,10 10 5,1.09.85,31
2015/10/04,10,4,及時取勝(S431),楊明綸,姚本輝,121,1162,2,4-1/4,7 5 4,0.58.12,14
2015/10/04,8,5,實在威(S407),史卓豐,姚本輝,125,1113,7,4-3/4,13 11 5,0.58.18,14
2015/11/14,(L401),WV,佳同117,史卓豐,吳定強,1171,---,---,-,,---,---
2015/11/01,6,2,升力(N294),潘頓,鄭俊偉,123,1090,3,1/2,8 8 7 2,1.42.24,3.5
2015/11/01,4,3,智高星(N389),巫斯義,文家良,127,1153,2,3/4,5 4 4 3,1.42.29,4.7
2015/11/01,4,8,保證滿意(P286),羅理雅,鄭俊偉,129,1103,8,3-3/4,8 8 7 8,1.41.83,17
2015/11/01,2,9,甜哥兒(S209),莫雷拉,霍利時,133,1049,9,6,9 9 9 9,1.42.17,4.2
2015/10/10,4,6,精壯神駿(S414),羅理雅,告達理,126,1088,2,4-1/4,5 5 6,1.09.87,16
2015/10/10,1,7,萬馬奔騰(S142),湯智傑,姚本輝,131,1071,8,4-1/2,8 8 7,1.09.91,91
2015/10/04,4,6,星光大師(T405),吳嘉晉,告東尼,121,1124,8,5-3/4,2 2 6,0.58.35,6.4
2015/10/04,6,7,智勝明駒(T320),郭能,方嘉柏,126,1125,1,6,10 8 7,0.58.40,83
2015/10/10,4,1,包裝奔馳(S386),潘頓,姚本輝,128,1173,6,-,5 5 5 1,1.20.91,3.8
2015/09/28,4,1,得盛(N268),潘頓,葉楚航,128,1116,5,-,9 7 5 1,1.22.18,8.6
2015/11/01,3,4,怡德(T055),羅理雅,霍利時,129,1019,7,2,6 6 5 4,1.42.49,17
2015/11/01,7,5,銀飛龍(M326),黃皓楠,徐雨石,113,1096,4,3,2 1 1 5,1.42.65,10
2015/11/01,5,10,欖球大使(S314),潘頓,葉楚航,129,1196,5,6-1/2,2 2 2 10,1.42.28,4.7
2015/11/01,6,11,文武仔(T128),黃皓楠,沈集成,119,1129,6,8-1/4,10 10 11 11,1.42.55,99
2015/10/10,8,8,喜菜(T284),霍勵賢,霍利時,124,1037,4,4-1/2,7 7 8,1.09.92,99
2015/10/10,11,9,勇少爺(T397),巫斯義,文家良,120,1061,6,7,3 4 9,1.10.32,17
2015/10/04,1,8,氣勢如虹(P178),蔣嘉琦,姚本輝,123,1104,3,6,4 4 8,0.58.40,22
2015/10/04,2,9,真係奇(T191),柏寶,蘇偉賢,133,1035,6,6-1/4,5 7 9,0.58.43,19
2015/10/10,1,2,夢仙(M246),韋達,葉楚航,133,1077,4,2-1/4,10 8 8 2,1.21.27,53
2015/10/10,8,3,華恩庭(T179),莫雷拉,蔡約翰,124,1132,1,3,4 4 3 3,1.21.40,1.7
2015/09/28,9,2,華美之友(T309),巫斯義,告東尼,121,1067,6,3/4,6 9 9 2,1.22.30,28
2015/09/28,13,3,永同天下(S263),楊明綸,容天鵬,117,1207,4,1-1/4,13 13 14 3,1.22.38,9.9
2015/11/01,10,6,千真萬確(S328),郭能,姚本輝,121,1024,11,4,10 10 9 6,1.42.79,35
2015/11/01,9,7,會心微笑(N386),莫雷拉,方嘉柏,121,1034,5,7,1 2 3 7,1.43.27,7.9
2015/11/01,7,12,開心得意(P241),黎海榮,吳定強,121,1064,11,21,12 12 12 12,1.44.57,82
2015/10/10,9,10,傲飛星(S225),莫雷拉,容天鵬,123,1191,11,8-1/2,11 11 10,1.10.57,7.8
2015/10/10,7,11,快樂聯盟(T317),韋達,苗禮德,125,1226,12,9-3/4,12 12 11,1.10.78,99
